date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Updates,0,5,4,8,7,13,20,33,116,25,27,19,69,137,260
Neuerscheinungen,40,86,71,67,56,72,43,136,58,45,108,97,53,204,81
